Product_Name, Price
HP 14 Core i3 7th gen 14-inch Thin and Light Laptop ,28990
ASUS VivoBooK Intel Core i3 7th Gen 14-inch Thin and Light Laptop ,26990
Dell Inspiron 5370 Intel Core i5 8th Gen 13.3-inch FHD Thin and Light Laptop ,61999
Lenovo Ideapad 330S AMD A9 14-inch Thin and Light Laptop ,31968
HP Pavilion x360 Core i5 8th Gen 14-inch Touchscreen 2-in-1 FHD Laptop ,66190
HP Pavilion x360 Convertible 14-cd0081TU 14-inch FHD Slim Laptop with Pen,59985
Lenovo Ideapad 330 AMD A6 14-inch Laptop ,19990
Microsoft SurfacePro Intel Core i5 7th Gen 12.3-inch Touchscreen 2-in-1 Thin and Light Laptop ,76000
HP Pavilion x360 Intel Core i3 8th Gen 14-inch Touchscreen 2-in-1 FHD Thin and Light Laptop ,52598
DELL Inspiron 5000 5378 13.3-inch FHD Laptop ,47700
HP Pavilion x360 Intel Core i5 8th Gen 14-inch FHD Touchscreen 2-in-1 ,80937
